state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes,fractionVotes
Alabama,AL,Autauga,1001,Republican,Donald Trump,5387,0.445,0.365
Alabama,AL,Autauga,1001,Republican,Ted Cruz,2482,0.205,0.168
Alabama,AL,Autauga,1001,Republican,Marco Rubio,1785,0.148,0.121
Alabama,AL,Autauga,1001,Republican,Ben Carson,1764,0.146,0.119
Alabama,AL,Autauga,1001,Republican,John Kasich,421,0.035,0.029
Alabama,AL,Autauga,1001,Democrat,Hillary Clinton,2387,0.8,0.162
Alabama,AL,Autauga,1001,Democrat,Bernie Sanders,544,0.182,0.037
Alabama,AL,Baldwin,1003,Republican,Donald Trump,23618,0.469,0.414
Alabama,AL,Baldwin,1003,Republican,Marco Rubio,9703,0.193,0.17
Alabama,AL,Baldwin,1003,Republican,Ted Cruz,8571,0.17,0.15
Alabama,AL,Baldwin,1003,Republican,Ben Carson,4221,0.084,0.074
Alabama,AL,Baldwin,1003,Republican,John Kasich,2987,0.059,0.052
Alabama,AL,Baldwin,1003,Democrat,Hillary Clinton,5290,0.647,0.093
Alabama,AL,Baldwin,1003,Democrat,Bernie Sanders,2694,0.329,0.047
Alabama,AL,Barbour,1005,Republican,Donald Trump,1710,0.501,0.278
Alabama,AL,Barbour,1005,Republican,Ted Cruz,609,0.179,0.099
Alabama,AL,Barbour,1005,Republican,Marco Rubio,498,0.146,0.081
Alabama,AL,Barbour,1005,Republican,Ben Carson,417,0.122,0.068
Alabama,AL,Barbour,1005,Republican,John Kasich,123,0.036,0.02
Alabama,AL,Barbour,1005,Democrat,Hillary Clinton,2567,0.906,0.418
Alabama,AL,Barbour,1005,Democrat,Bernie Sanders,222,0.078,0.036
Alabama,AL,Bibb,1007,Republican,Donald Trump,1959,0.494,0.386
Alabama,AL,Bibb,1007,Republican,Ted Cruz,1011,0.255,0.199
Alabama,AL,Bibb,1007,Republican,Marco Rubio,444,0.112,0.087
Alabama,AL,Bibb,1007,Republican,Ben Carson,393,0.099,0.077
Alabama,AL,Bibb,1007,Republican,John Kasich,84,0.021,0.017
Alabama,AL,Bibb,1007,Democrat,Hillary Clinton,942,0.755,0.185
Alabama,AL,Bibb,1007,Democrat,Bernie Sanders,246,0.197,0.048
Alabama,AL,Blount,1009,Republican,Donald Trump,7390,0.487,0.469
Alabama,AL,Blount,1009,Republican,Ted Cruz,3698,0.244,0.235
Alabama,AL,Blount,1009,Republican,Marco Rubio,1843,0.122,0.117
Alabama,AL,Blount,1009,Republican,Ben Carson,1523,0.1,0.097
Alabama,AL,Blount,1009,Republican,John Kasich,337,0.022,0.021
Alabama,AL,Blount,1009,Democrat,Hillary Clinton,564,0.551,0.036
Alabama,AL,Blount,1009,Democrat,Bernie Sanders,395,0.386,0.025
Alabama,AL,Bullock,1011,Republican,Donald Trump,313,0.565,0.099
Alabama,AL,Bullock,1011,Republican,Ted Cruz,94,0.17,0.03
Alabama,AL,Bullock,1011,Republican,Marco Rubio,64,0.116,0.02
Alabama,AL,Bullock,1011,Republican,Ben Carson,47,0.085,0.015
Alabama,AL,Bullock,1011,Republican,John Kasich,23,0.042,0.007
Alabama,AL,Bullock,1011,Democrat,Hillary Clinton,2451,0.913,0.773
Alabama,AL,Bullock,1011,Democrat,Bernie Sanders,178,0.066,0.056
Alabama,AL,Butler,1013,Republican,Donald Trump,1720,0.538,0.313
Alabama,AL,Butler,1013,Republican,Ted Cruz,534,0.167,0.097
Alabama,AL,Butler,1013,Republican,Marco Rubio,427,0.133,0.078
Alabama,AL,Butler,1013,Republican,Ben Carson,377,0.118,0.069
Alabama,AL,Butler,1013,Republican,John Kasich,86,0.027,0.016
Alabama,AL,Butler,1013,Democrat,Hillary Clinton,2196,0.921,0.4
Alabama,AL,Butler,1013,Democrat,Bernie Sanders,156,0.065,0.028
Alabama,AL,Calhoun,1015,Republican,Donald Trump,8960,0.451,0.347
Alabama,AL,Calhoun,1015,Republican,Ted Cruz,3859,0.194,0.149
Alabama,AL,Calhoun,1015,Republican,Marco Rubio,3251,0.163,0.126
Alabama,AL,Calhoun,1015,Republican,Ben Carson,2350,0.118,0.091
Alabama,AL,Calhoun,1015,Republican,John Kasich,957,0.048,0.037
Alabama,AL,Calhoun,1015,Democrat,Hillary Clinton,5011,0.765,0.194
Alabama,AL,Calhoun,1015,Democrat,Bernie Sanders,1425,0.218,0.055
Alabama,AL,Chambers,1017,Republican,Donald Trump,2169,0.476,0.283
Alabama,AL,Chambers,1017,Republican,Ted Cruz,914,0.2,0.119
Alabama,AL,Chambers,1017,Republican,Ben Carson,595,0.131,0.078
Alabama,AL,Chambers,1017,Republican,Marco Rubio,595,0.131,0.078
Alabama,AL,Chambers,1017,Republican,John Kasich,168,0.037,0.022
Alabama,AL,Chambers,1017,Democrat,Hillary Clinton,2899,0.886,0.379
Alabama,AL,Chambers,1017,Democrat,Bernie Sanders,312,0.095,0.041
Alabama,AL,Cherokee,1019,Republican,Donald Trump,2777,0.521,0.45
Alabama,AL,Cherokee,1019,Republican,Ted Cruz,921,0.173,0.149
Alabama,AL,Cherokee,1019,Republican,Marco Rubio,810,0.152,0.131
Alabama,AL,Cherokee,1019,Republican,Ben Carson,534,0.1,0.087
Alabama,AL,Cherokee,1019,Republican,John Kasich,151,0.028,0.024
